# https://chainz.cryptoid.info/ and whois results
# SolarCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.143.47.152|/Satoshi:2.1.8/|70005|17511|101.140.0.0/14|JP|apnic|2010-12-22|OPTAGE OPTAGE Inc., JP
103.21.172.90|/Satoshi:2.1.8/|70005|132449|103.21.172.0/23|NZ|apnic|2012-10-15|WIRELESSNATION-NZ Wireless Nation, NZ
104.238.59.195|/Satoshi:2.1.8/|70005|27589|104.238.59.0/24|US|arin|2014-12-03|MOJOHOST, US
104.32.30.250|/Satoshi:2.1.8/|70005|20001|104.32.0.0/14|US|arin|2014-03-28|TWC-20001-PACWEST, US
109.132.10.180|/Satoshi:2.1.8/|70005|5432|109.132.0.0/14|BE|ripencc|2009-07-27|PROXIMUS-ISP-AS, BE
109.207.192.65|/Satoshi:2.1.8/|70005|43139|109.207.192.0/20|UA|ripencc|2010-03-08|MAXIMUMA-AS, UA
109.226.164.109|/Satoshi:2.1.8/|70005|21032|109.226.128.0/18|DE|ripencc|2010-01-27|TELTA-AS, DE
113.163.227.109|/Satoshi:2.1.8/|70005|45899|113.163.224.0/20|VN|apnic|2008-11-04|VNPT-AS-VN VNPT Corp, VN
115.64.220.240|/Satoshi:2.1.8/|70005|7545|115.64.220.0/24|AU|apnic|2008-07-11|TPG-INTERNET-AP TPG Telecom Limited, AU
115.70.185.47|/Satoshi:2.1.8/|70005|10143|115.70.185.0/24|AU|apnic|2008-07-22|EXETEL-AS-AP Exetel Pty Ltd, AU
119.17.130.82|/Satoshi:2.1.8/|70005|4764|119.17.128.0/22|AU|apnic|2007-12-03|WIDEBAND-AS-AP Aussie Broadband, AU
121.99.133.79|/Satoshi:2.1.8/|70005|9790|121.98.0.0/15|NZ|apnic|2010-08-26|VOCUSGROUPNZ VocusGroup, NZ
139.162.244.34|/Satoshi:2.1.8/|70005|63949|139.162.224.0/19|NL|ripencc|1990-03-24|LINODE-AP Linode, LLC, US
162.243.214.120|/Satoshi:2.1.8/|70005|14061|162.243.192.0/18|US|arin|2013-09-06|DIGITALOCEAN-ASN, US
163.158.146.148|/Satoshi:2.1.8/|70005|15435|163.158.0.0/16|NL|ripencc|1992-09-01|KABELFOON DELTA Fiber Nederland, NL
166.170.222.39|/Satoshi:2.1.8/|70005|20057|166.170.220.0/22|US|arin|1993-07-09|ATT-MOBILITY-LLC-AS20057, US
172.103.179.126|/Satoshi:2.1.8/|70005|25668|172.103.128.0/17|CA|arin|2015-06-22|CIPHERKEY, CA
173.68.54.8|/Satoshi:2.1.8/|70005|701|173.68.0.0/16|US|arin|2008-08-11|UUNET, US
174.52.57.101|/Satoshi:2.1.8/|70005|7922|174.48.0.0/12|US|arin|2008-11-18|COMCAST-7922, US
176.58.227.168|/Satoshi:2.1.8/|70005|25472|176.58.224.0/22|GR|ripencc|2011-06-06|WIND-AS, GR
178.117.115.177|/Satoshi:2.1.8/|70005|6848|178.116.0.0/14|BE|ripencc|2010-01-22|TELENET-AS, BE
178.25.119.92|/Satoshi:2.1.8/|70005|3209|178.24.0.0/14|DE|ripencc|2010-02-17|VODANET International IP-Backbone of Vodafone, DE
184.94.190.79|/Satoshi:2.1.8/|70005|25914|184.94.176.0/20|CA|arin|2011-05-02|QCC-AS, CA
185.220.101.218|/Satoshi:2.1.8/|70005|208294|185.220.101.0/24|DE|ripencc|2017-09-12|ASMK, NL
185.62.88.97|/Satoshi:2.1.8/|70005|197637|185.62.88.0/22|DE|ripencc|2014-06-30|ROPA ropa digital systems, DE
190.96.1.19|/Satoshi:2.1.8/|70005|18822|190.96.1.0/24|CL|lacnic|2007-07-19|Manquehuenet, CL
193.80.9.251|/Satoshi:2.1.8/|70005|1901|193.80.0.0/15|AT|ripencc|1993-09-01|EUNETAT-AS A1 Telekom Austria AG, AT
2.202.124.8|/Satoshi:2.1.8/|70005|3209|2.200.0.0/14|DE|ripencc|2010-11-18|VODANET International IP-Backbone of Vodafone, DE
2.28.6.222|/Satoshi:2.1.8/|70005|12576|2.28.0.0/16|GB|ripencc|2010-09-21|EE Ltd, GB
212.15.178.105|/Satoshi:2.1.8/|70005|12810|212.15.160.0/19|HR|ripencc|2002-10-09|VIPNET-AS 3G/GSM and Internet Service Provider, HR
212.204.164.64|/Satoshi:2.1.8/|70005|33915|212.204.160.0/19|NL|ripencc|1999-06-29|TNF-AS, NL
212.50.0.99|/Satoshi:2.1.8/|70005|8717|212.50.0.0/19|BG|ripencc|1998-03-10|SPECTRUMNET, BG
213.118.185.213|/Satoshi:2.1.8/|70005|6848|213.118.0.0/15|BE|ripencc|2000-09-07|TELENET-AS, BE
213.119.47.89|/Satoshi:2.1.8/|70005|6848|213.118.0.0/15|BE|ripencc|2000-09-07|TELENET-AS, BE
24.117.130.196|/Satoshi:2.1.8/|70005|11492|24.117.130.0/24|US|arin|1996-09-25|CABLEONE, US
24.173.73.66|/Satoshi:2.1.8/|70005|11427|24.173.64.0/19|US|arin|2003-03-17|TWC-11427-TEXAS, US
31.47.163.231|/Satoshi:2.1.8/|70005|12688|31.47.160.0/19|RU|ripencc|2011-03-22|BAIKALTRANSTELECOM Irkutsk, Russia, RU
35.141.16.226|/Satoshi:2.1.8/|70005|33363|35.136.0.0/13|US|arin|2017-06-30|BHN-33363, US
37.48.24.38|/Satoshi:2.1.8/|70005|13036|37.48.0.0/18|CZ|ripencc|2012-01-23|TMOBILE-, CZ
42.191.209.141|/Satoshi:2.1.8/|70005|4788|42.188.0.0/14|MY|apnic|2011-03-09|TMNET-AS-AP TM Net, Internet Service Provider, MY
43.242.69.52|/Satoshi:2.1.8/|70005|45671|43.242.68.0/22|AU|apnic|2014-08-29|AS45671-NET-AU Wholesale Services Provider, AU
45.19.239.238|/Satoshi:2.1.8/|70005|7018|45.16.0.0/12|US|arin|2014-12-11|ATT-INTERNET4, US
46.142.157.199|/Satoshi:2.1.8/|70005|8881|46.142.144.0/20|DE|ripencc|2010-11-25|VERSATEL, DE
46.55.167.50|/Satoshi:2.1.8/|70005|51582|46.55.128.0/18|BG|ripencc|2010-10-01|DCC-, BG
46.81.27.232|/Satoshi:2.1.8/|70005|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
47.145.202.141|/Satoshi:2.1.8/|70005|5650|47.144.0.0/13|US|arin|2015-08-28|FRONTIER-FRTR, US
49.176.242.36|/Satoshi:2.1.8/|70005|4804|49.176.240.0/21|AU|apnic|2010-12-02|MPX-AS Microplex PTY LTD, AU
5.199.155.158|/Satoshi:2.1.8/|70005|12414|5.199.144.0/20|NL|ripencc|2012-08-28|NL-SOLCON SOLCON, NL
50.34.43.235|/Satoshi:2.1.8/|70005|27017|50.34.0.0/16|US|arin|2010-09-24|ZIPLY-FIBER-LEGACY-ASN, US
50.72.195.230|/Satoshi:2.1.8/|70005|6327|50.72.192.0/22|CA|arin|2010-10-28|SHAW, CA
51.144.254.155|/Satoshi:2.1.8/|70005|8075|51.144.0.0/15|GB|ripencc|1993-09-01|MICROSOFT-CORP-MSN-AS-BLOCK, US
58.178.231.177|/Satoshi:2.1.8/|70005|9443|58.178.224.0/21|AU|apnic|2005-06-15|VOCUS-RETAIL-AU Vocus Retail, AU
59.17.52.194|/Satoshi:2.1.8/|70005|4766|59.16.0.0/13|KR|apnic|2004-08-02|KIXS-AS-KR Korea Telecom, KR
60.234.169.193|/Satoshi:2.1.8/|70005|9790|60.234.0.0/16|NZ|apnic|2004-08-09|VOCUSGROUPNZ VocusGroup, NZ
61.245.146.170|/Satoshi:2.1.8/|70005|4764|61.245.144.0/22|AU|apnic|2010-07-07|WIDEBAND-AS-AP Aussie Broadband, AU
68.104.235.49|/Satoshi:2.1.8/|70005|22773|68.104.128.0/17|US|arin|2002-02-04|ASN-CXA-ALL-CCI-22773-RDC, US
68.132.50.242|/Satoshi:2.1.8/|70005|701|68.132.0.0/16|US|arin|2002-05-13|UUNET, US
69.119.193.9|/Satoshi:2.1.8/|70005|6128|69.116.0.0/14|US|arin|2004-01-15|CABLE-NET-1, US
69.248.254.156|/Satoshi:2.1.8/|70005|7922|69.240.0.0/12|US|arin|2004-02-11|COMCAST-7922, US
70.123.150.161|/Satoshi:2.1.8/|70005|11427|70.122.0.0/15|US|arin|2004-09-17|TWC-11427-TEXAS, US
70.176.43.120|/Satoshi:2.1.8/|70005|22773|70.176.0.0/16|US|arin|2004-07-21|ASN-CXA-ALL-CCI-22773-RDC, US
72.199.46.20|/Satoshi:2.1.8/|70005|22773|72.199.0.0/16|US|arin|2005-08-03|ASN-CXA-ALL-CCI-22773-RDC, US
73.181.156.126|/Satoshi:2.1.8/|70005|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.199.92.78|/Satoshi:2.1.8/|70005|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.251.46.67|/Satoshi:2.1.8/|70005|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
74.88.96.55|/Satoshi:2.1.8/|70005|6128|74.88.0.0/15|US|arin|2009-03-04|CABLE-NET-1, US
75.71.5.12|/Satoshi:2.1.8/|70005|7922|75.64.0.0/13|US|arin|2006-07-07|COMCAST-7922, US
76.100.112.51|/Satoshi:2.1.8/|70005|7922|76.96.0.0/11|US|arin|2007-01-02|COMCAST-7922, US
