# https://chainz.cryptoid.info/ and whois results
# PeerCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.14.224.164|/Satoshi:0.16.3/Peercoin:0.9.0(v0.9.0ppc Strider)/|70015|701|100.14.0.0/16|US|arin|2010-12-28|UUNET, US
103.243.173.210|/Satoshi:0.16.3/Peercoin:0.9.0(v0.9.0ppc Strider)/|70015|59210|103.243.173.0/24|SG|apnic|2013-10-15|PHOENIXNAP-AS-SG1 PhoenixNAP, SG
109.171.40.157|/Satoshi:0.16.3/Peercoin:0.9.0(v0.9.0ppc Strider)/|70015|21127|109.171.0.0/17|RU|ripencc|2009-11-17|ZSTTKAS Novosibirsk, Russia, RU
109.197.31.236|/Satoshi:0.16.3/Peercoin:0.9.0(v0.9.0ppc Strider)/|70015|50672|109.197.24.0/21|RU|ripencc|2010-02-03|FORMULA-SVIAZY-AS, RU
109.252.195.3|/Satoshi:0.6.3/Peercoin:0.5.4(v0.5.4ppc-beta)/|60006|25513|109.252.0.0/16|RU|ripencc|2009-12-07|ASN-MGTS-USPD, RU
109.60.60.17|/Satoshi:0.16.3/Peercoin:0.9.0(v0.9.0.0-g31b997c3a8bb Strider)/|70015|31012|109.60.0.0/17|HR|ripencc|2009-12-11|DCM-AS Vipnet d.o.o., HR
109.95.145.198|/Satoshi:0.16.3/Peercoin:0.9.0(v0.9.0ppc Strider)/|70015|50467|109.95.144.0/21|PL|ripencc|2009-12-30|BESKID-MEDIA-AS, PL
110.143.130.252|/Satoshi:0.16.3/Peercoin:0.9.0(v0.9.0ppc Strider)/|70015|1221|110.143.0.0/16|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
110.33.40.254|/Satoshi:0.16.3/Peercoin:0.9.0(v0.9.0.0-g31b997c3a8bb Strider)/|70015|4804|110.33.0.0/17|AU|apnic|2009-02-24|MPX-AS Microplex PTY LTD, AU
113.104.210.24|/Satoshi:0.16.3/Peercoin:0.9.0(v0.9.0ppc Strider)/|70015|4134|113.96.0.0/12|CN|apnic|2008-11-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
113.104.250.244|/Satoshi:0.16.3/Peercoin:0.9.0(v0.9.0ppc Strider)/|70015|4134|113.96.0.0/12|CN|apnic|2008-11-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
